Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,1.764720649,3.88758243,0.274642648,-0.221006685,4.313638629
Australia,AUS,Broad money growth (annual %),FM.LBL.BMNY.ZG,5.984082435,6.666188127,4.521987656,2.373822341,14.05953319
Austria,AUT,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..
Afghanistan,AFG,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1750,1900,2000,2050,..
Albania,ALB,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,7855.5,7861.700195,8564.200195,8648.299805,..
Australia,AUS,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,203270.7188,220959.375,229645.4375,225436.6875,..
Austria,AUT,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,350,350,350,350,..
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2133.7,1981.9,2025.1,2164.9,..
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4873.8,4716.4,4813,4840.5,..
Australia,AUS,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2027.4,2075.2,2674.3,2035.5,..
Austria,AUT,Cereal yield (kg per hectare),AG.YLD.CREL.KG,6198.1,7246.4,6260.6,6160,..
Afghanistan,AFG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.401364107,0.36301876,0.353178874,0.35186576,..
Albania,ALB,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.445250586,0.419064527,0.45858037,0.437493133,..
Australia,AUS,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.278147276,0.276400287,0.272464314,0.264262329,..
Austria,AUT,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.165393124,0.162783226,0.165087636,0.154456827,..
Afghanistan,AFG,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.083595026,0.07281691,0.063979082,0.080290564,0.077395432
Albania,ALB,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.135015473,0.126723248,0.140066641,0.133868483,0.123945165
Australia,AUS,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.33347747,0.330755816,0.326834511,0.316006768,0.309035519
Austria,AUT,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.138388971,0.136633586,0.138189936,0.129085671,0.130637994
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.082832511,0.075608484,0.063979082,0.078417169,0.074261266
Albania,ALB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.137557951,0.128958075,0.140066641,0.132072952,0.120879854
Australia,AUS,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.343000272,0.336780314,0.326834511,0.308825598,0.294468386
Austria,AUT,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.146736714,0.138349738,0.138189936,0.125229152,0.125593024
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.172896741,0.149789334,0.131694556,0.1632953,0.159824372
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.60377515,1.557664358,1.788786074,1.782738948,1.69224832
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.863288,15.91465712,15.81831632,15.49352925,15.23826715
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.317158873,7.288819983,7.486161583,7.133063919,7.293984252
Afghanistan,AFG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.168633703,0.245751221,0.400798952,0.545866584,0.332140151
Albania,ALB,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.005950484,0.000389406,0.015645872,0.033730203,0.007838654
Australia,AUS,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.467132165,0.592976215,0.775574944,0.794849365,0.691330115
Austria,AUT,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0,0,0,0,0
Afghanistan,AFG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.16,2.11,2.04,1.96,1.87
Albania,ALB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,22.02,21.68,20.72,19.54,18.71
Australia,AUS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,28.75,27.74,29.63,28.22,26.43
Austria,AUT,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.8,12.66,12.06,11.94,11.87
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-21.91266865,-14.95020339,-18.95594795,-21.58526707,-20.17045768
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-8.604882722,-7.590825999,-7.544250119,-6.704918013,-7.913708743
Australia,AUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-4.217495101,-3.413143013,-2.717911242,-2.092526706,0.55019333
